1) a * A Matrix
      [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8] [,9] [,10]
 [1,]    1    2    3    4    5    6    7    8    9    10
 [2,]  110  120  130  140  150  160  170  180  190   200
 [3,]   63   66   69   72   75   78   81   84   87    90
 [4,]  620  640  660  680  700  720  740  760  780   800
 [5,]  205  210  215  220  225  230  235  240  245   250
 [6,] 1530 1560 1590 1620 1650 1680 1710 1740 1770  1800
 [7,]  427  434  441  448  455  462  469  476  483   490
 [8,] 2840 2880 2920 2960 3000 3040 3080 3120 3160  3200
 [9,]  729  738  747  756  765  774  783  792  801   810
[10,] 4550 4600 4650 4700 4750 4800 4850 4900 4950  5000

2) b * B matrix
       [,1]  [,2]  [,3]  [,4]  [,5]  [,6]  [,7]  [,8]  [,9] [,10]
  [1,]     7    14    21    28    35    42    49    56    63    70
  [2,]    66    72    78    84    90    96   102   108   114   120
  [3,]   441   462   483   504   525   546   567   588   609   630
  [4,]   372   384   396   408   420   432   444   456   468   480
  [5,]  1435  1470  1505  1540  1575  1610  1645  1680  1715  1750
  [6,]   918   936   954   972   990  1008  1026  1044  1062  1080
  [7,]  2989  3038  3087  3136  3185  3234  3283  3332  3381  3430
  [8,]  1704  1728  1752  1776  1800  1824  1848  1872  1896  1920
  [9,]  5103  5166  5229  5292  5355  5418  5481  5544  5607  5670
 [10,]  2730  2760  2790  2820  2850  2880  2910  2940  2970  3000
 [11,]   707   714   721   728   735   742   749   756   763   770
 [12,]   666   672   678   684   690   696   702   708   714   720
 [13,]  2541  2562  2583  2604  2625  2646  2667  2688  2709  2730
 [14,]  1572  1584  1596  1608  1620  1632  1644  1656  1668  1680
 [15,]  4935  4970  5005  5040  5075  5110  5145  5180  5215  5250
 [16,]  2718  2736  2754  2772  2790  2808  2826  2844  2862  2880
 [17,]  7889  7938  7987  8036  8085  8134  8183  8232  8281  8330
 [18,]  4104  4128  4152  4176  4200  4224  4248  4272  4296  4320
 [19,] 11403 11466 11529 11592 11655 11718 11781 11844 11907 11970
 [20,]  5730  5760  5790  5820  5850  5880  5910  5940  5970  6000
 [21,]  1407  1414  1421  1428  1435  1442  1449  1456  1463  1470
 [22,]  1266  1272  1278  1284  1290  1296  1302  1308  1314  1320
 [23,]  4641  4662  4683  4704  4725  4746  4767  4788  4809  4830
 [24,]  2772  2784  2796  2808  2820  2832  2844  2856  2868  2880
 [25,]  8435  8470  8505  8540  8575  8610  8645  8680  8715  8750
 [26,]  4518  4536  4554  4572  4590  4608  4626  4644  4662  4680
 [27,] 12789 12838 12887 12936 12985 13034 13083 13132 13181 13230
 [28,]  6504  6528  6552  6576  6600  6624  6648  6672  6696  6720
 [29,] 17703 17766 17829 17892 17955 18018 18081 18144 18207 18270
 [30,]  8730  8760  8790  8820  8850  8880  8910  8940  8970  9000
 [31,]  2107  2114  2121  2128  2135  2142  2149  2156  2163  2170
 [32,]  1866  1872  1878  1884  1890  1896  1902  1908  1914  1920
